table_name,variable_name,enumeration_code,enumeration_display,enumeration_title,enumeration_meaning,enumeration_system,enumeration_group
AccessPolicy,data_access_type,open,Open Access,,ncpi_data_access_type:open,https://anvilproject.github.io/acr-harmonized-data-model/EnumDataAccessType,EnumDataAccessType
AccessPolicy,data_access_type,registered,Registered,,ncpi_data_access_type:registered,https://anvilproject.github.io/acr-harmonized-data-model/EnumDataAccessType,EnumDataAccessType
AccessPolicy,data_access_type,controlled,Controlled,,ncpi_data_access_type:controlled,https://anvilproject.github.io/acr-harmonized-data-model/EnumDataAccessType,EnumDataAccessType
AccessPolicy,data_access_type,gsr_restricted,GSR Restricted,,ncpi_data_access_type:gsr-restricted,https://anvilproject.github.io/acr-harmonized-data-model/EnumDataAccessType,EnumDataAccessType
AccessPolicy,data_access_type,gsr_allowed,GSR Allowed,,ncpi_data_access_type:gsr-allowed,https://anvilproject.github.io/acr-harmonized-data-model/EnumDataAccessType,EnumDataAccessType
AccessPolicy,consent_scope,adr,Advanced Care Directive,,hl7_consent_scope:adr,https://anvilproject.github.io/acr-harmonized-data-model/EnumConsentScope,EnumConsentScope
AccessPolicy,consent_scope,research,Research,,hl7_consent_scope:research,https://anvilproject.github.io/acr-harmonized-data-model/EnumConsentScope,EnumConsentScope
AccessPolicy,consent_scope,patient_privacy,Patient Privacy,,hl7_consent_scope:patient-privacy,https://anvilproject.github.io/acr-harmonized-data-model/EnumConsentScope,EnumConsentScope
AccessPolicy,consent_scope,treatment,Treatment,,hl7_consent_scope:treatment,https://anvilproject.github.io/acr-harmonized-data-model/EnumConsentScope,EnumConsentScope
AccessPolicy,status,draft,Draft,,hl7_consent_state_codes:draft,https://anvilproject.github.io/acr-harmonized-data-model/EnumConsentStateCodes,EnumConsentStateCodes
AccessPolicy,status,proposed,Proposed,,hl7_consent_state_codes:proposed,https://anvilproject.github.io/acr-harmonized-data-model/EnumConsentStateCodes,EnumConsentStateCodes
AccessPolicy,status,active,Active,,hl7_consent_state_codes:active,https://anvilproject.github.io/acr-harmonized-data-model/EnumConsentStateCodes,EnumConsentStateCodes
AccessPolicy,status,rejected,Rejected,,hl7_consent_state_codes:rejected,https://anvilproject.github.io/acr-harmonized-data-model/EnumConsentStateCodes,EnumConsentStateCodes
AccessPolicy,status,inactive,Inactive,,hl7_consent_state_codes:inactive,https://anvilproject.github.io/acr-harmonized-data-model/EnumConsentStateCodes,EnumConsentStateCodes
AccessPolicy,status,entered_in_error,Entered in Error,,hl7_consent_state_codes:entered-in-error,https://anvilproject.github.io/acr-harmonized-data-model/EnumConsentStateCodes,EnumConsentStateCodes
RelativeDateTime,offset_type,days,The offset is represented in days,Days,,https://anvilproject.github.io/acr-harmonized-data-model/EnumOffsetType,EnumOffsetType
RelativeDateTime,offset_type,years,The offset is represented in Years,Years,,https://anvilproject.github.io/acr-harmonized-data-model/EnumOffsetType,EnumOffsetType
AgeAt,value_type,age,Age (must also be annotated with age units),Age,,https://anvilproject.github.io/acr-harmonized-data-model/EnumAgeValueType,EnumAgeValueType
AgeAt,value_type,code,Age as Code (ages will be provided as coded values),Age as Code,,https://anvilproject.github.io/acr-harmonized-data-model/EnumAgeValueType,EnumAgeValueType
AgeAt,value_type,age_range,Age expressed as a range (relative date/time),Age Range,,https://anvilproject.github.io/acr-harmonized-data-model/EnumAgeValueType,EnumAgeValueType
AgeAt,value_type,date,"Rather than an age, we have an actual date for the event's occurence",Date,,https://anvilproject.github.io/acr-harmonized-data-model/EnumAgeValueType,EnumAgeValueType
ParticipantAssertion,entity_asserter,self_report,The participant reported the assertion,Self Report,,https://anvilproject.github.io/acr-harmonized-data-model/EnumEntityAsserter,EnumEntityAsserter
ParticipantAssertion,entity_asserter,doctor,Physician,Doctor,,https://anvilproject.github.io/acr-harmonized-data-model/EnumEntityAsserter,EnumEntityAsserter
ParticipantAssertion,entity_asserter,staff,Trained research staff,Trained Research Staff,,https://anvilproject.github.io/acr-harmonized-data-model/EnumEntityAsserter,EnumEntityAsserter
ParticipantAssertion,assertion_type,phenotypic_feature,This is a phenotypic feature,Phenotypic Feature,ncpi_cond_type:Phenotypic-Feature,https://anvilproject.github.io/acr-harmonized-data-model/EnumAssertionType,EnumAssertionType
ParticipantAssertion,assertion_type,disease,Disease,disease,ncpi_cond_type:Disease,https://anvilproject.github.io/acr-harmonized-data-model/EnumAssertionType,EnumAssertionType
ParticipantAssertion,assertion_type,comorbidity,Comorbidity,comorbidity,ncpi_cond_type:Comorbidity,https://anvilproject.github.io/acr-harmonized-data-model/EnumAssertionType,EnumAssertionType
ParticipantAssertion,assertion_type,histology,Histology,histology,ncpi_cond_type:Histology,https://anvilproject.github.io/acr-harmonized-data-model/EnumAssertionType,EnumAssertionType
ParticipantAssertion,assertion_type,clinical_finding,Clinical Finding,clinical-finding,ncpi_cond_type:Clinical-Finding,https://anvilproject.github.io/acr-harmonized-data-model/EnumAssertionType,EnumAssertionType
ParticipantAssertion,assertion_type,ehr_billing_code,"From an EHR billing record, which may indicate only investigation into a possible diagnosis.",EHR Billing Code,ncpi_cond_type:EHR-Condition-Code,https://anvilproject.github.io/acr-harmonized-data-model/EnumAssertionType,EnumAssertionType
ParticipantAssertion,assertion_type,measurement,"A measurement of some feature, eg, height or glucose.",Measurement,,https://anvilproject.github.io/acr-harmonized-data-model/EnumAssertionType,EnumAssertionType
AssociatedParty,role,sponsor,sponsor,,hl7_rsp_role:sponsor,https://anvilproject.github.io/acr-harmonized-data-model/EnumResearchStudyPartyRole,EnumResearchStudyPartyRole
AssociatedParty,role,lead_sponsor,lead-sponsor,,hl7_rsp_role:lead-sponsor,https://anvilproject.github.io/acr-harmonized-data-model/EnumResearchStudyPartyRole,EnumResearchStudyPartyRole
AssociatedParty,role,sponsor_investigator,,,hl7_rsp_role:sponsor-investigator,https://anvilproject.github.io/acr-harmonized-data-model/EnumResearchStudyPartyRole,EnumResearchStudyPartyRole
AssociatedParty,role,primary_investigator,,,hl7_rsp_role:primary-investigator,https://anvilproject.github.io/acr-harmonized-data-model/EnumResearchStudyPartyRole,EnumResearchStudyPartyRole
AssociatedParty,role,collaborator,,,hl7_rsp_role:collaborator,https://anvilproject.github.io/acr-harmonized-data-model/EnumResearchStudyPartyRole,EnumResearchStudyPartyRole
AssociatedParty,role,funding_source,,,hl7_rsp_role:funding-source,https://anvilproject.github.io/acr-harmonized-data-model/EnumResearchStudyPartyRole,EnumResearchStudyPartyRole
AssociatedParty,role,general_contact,,,hl7_rsp_role:general=contact,https://anvilproject.github.io/acr-harmonized-data-model/EnumResearchStudyPartyRole,EnumResearchStudyPartyRole
AssociatedParty,role,recruitment_contact,,,hl7_rsp_role:recruitment-contact,https://anvilproject.github.io/acr-harmonized-data-model/EnumResearchStudyPartyRole,EnumResearchStudyPartyRole
AssociatedParty,role,sub_investigator,,,hl7_rsp_role:sub-investigator,https://anvilproject.github.io/acr-harmonized-data-model/EnumResearchStudyPartyRole,EnumResearchStudyPartyRole
AssociatedParty,role,study_director,,,hl7_rsp_role:study-director,https://anvilproject.github.io/acr-harmonized-data-model/EnumResearchStudyPartyRole,EnumResearchStudyPartyRole
AssociatedParty,role,study_chair,,,hl7_rsp_role:study-chair,https://anvilproject.github.io/acr-harmonized-data-model/EnumResearchStudyPartyRole,EnumResearchStudyPartyRole
AssociatedParty,role,irb,Institutional Review Board,,hl7_rsp_role:irb,https://anvilproject.github.io/acr-harmonized-data-model/EnumResearchStudyPartyRole,EnumResearchStudyPartyRole
Participant,birthsex,female,Female,,usc_birthsex:F,https://anvilproject.github.io/acr-harmonized-data-model/EnumBirthSex,EnumBirthSex
Participant,birthsex,male,Male,,usc_birthsex:M,https://anvilproject.github.io/acr-harmonized-data-model/EnumBirthSex,EnumBirthSex
Participant,birthsex,asku,"Information was sought but not found (e.g., patient was asked but didn't know)",asked but unknown,hl7_null:ASKU,https://anvilproject.github.io/acr-harmonized-data-model/EnumBirthSex,EnumBirthSex
Participant,birthsex,oth,"**Description:**The actual value is not a member of the set of permitted data values in the constrained value domain of a variable. (e.g., concept not provided by required code system).
Usage Notes: This flavor and its specializations are most commonly used with the CD datatype and its flavors. However, it may apply to *any* datatype where the constraints of the type are tighter than can be conveyed. For example, a PQ that is for a true measured amount whose units are not supported in UCUM, a need to convey a REAL when the type has been constrained to INT, etc.
With coded datatypes, this null flavor may only be used if the vocabulary binding has a coding strength of CNE. By definition, all local codes and original text are part of the value set if the coding strength is CWE.",other,hl7_null:OTH,https://anvilproject.github.io/acr-harmonized-data-model/EnumBirthSex,EnumBirthSex
Participant,birthsex,unk,"*Description:**A proper value is applicable, but not known.
Usage Notes: This means the actual value is not known. If the only thing that is unknown is how to properly express the value in the necessary constraints (value set, datatype, etc.), then the OTH or UNC flavor should be used. No properties should be included for a datatype with this property unless:
Those properties themselves directly translate to a semantic of 'unknown'. (E.g. a local code sent as a translation that conveys 'unknown') Those properties further qualify the nature of what is unknown. (E.g. specifying a use code of 'H' and a URL prefix of 'tel:' to convey that it is the home phone number that is unknown.)",Unknown,hl7_null:UNK,https://anvilproject.github.io/acr-harmonized-data-model/EnumBirthSex,EnumBirthSex
Participant,ethnicity,hispanic_or_latino,Hispanic or Latino,,cdc_rec:2135-2,https://anvilproject.github.io/acr-harmonized-data-model/EnumEthnicity,EnumEthnicity
Participant,ethnicity,not_hispanic_or_latino,Not Hispanic or Latino,,cdc_rec:2186-5,https://anvilproject.github.io/acr-harmonized-data-model/EnumEthnicity,EnumEthnicity
Participant,ethnicity,unknown,unknown,,hl7_null:UNK,https://anvilproject.github.io/acr-harmonized-data-model/EnumEthnicity,EnumEthnicity
Participant,ethnicity,asked_but_unknown,asked but unknown,,hl7_null:ASKU,https://anvilproject.github.io/acr-harmonized-data-model/EnumEthnicity,EnumEthnicity
Participant,dob_method,exact,Exact,,ncpi_dob_method:exact,https://anvilproject.github.io/acr-harmonized-data-model/EnumDobMethod,EnumDobMethod
Participant,dob_method,year_only,Year Only,,ncpi_dob_method:year-only,https://anvilproject.github.io/acr-harmonized-data-model/EnumDobMethod,EnumDobMethod
Participant,dob_method,shifted,Shifted,,ncpi_dob_method:shifted,https://anvilproject.github.io/acr-harmonized-data-model/EnumDobMethod,EnumDobMethod
Participant,dob_method,decade_only,Decade Only,,ncpi_dob_method:decade-only,https://anvilproject.github.io/acr-harmonized-data-model/EnumDobMethod,EnumDobMethod
Participant,dob_method,other,Other,,ncpi_dob_method:other,https://anvilproject.github.io/acr-harmonized-data-model/EnumDobMethod,EnumDobMethod
Participant,patient_knowledge_source,traditional,The knowledge comes from traditional sources like a form filled out by a patient or information copied from an external traditional source like government records.,Traditional,ncpi_patient_knowledge_source:traditional,https://anvilproject.github.io/acr-harmonized-data-model/EnumPatientKnowledgeSource,EnumPatientKnowledgeSource
Participant,patient_knowledge_source,inferred,"The knowledge is inferred from indirect evidence. For example, the existence of one patient's mother can be inferred from the existence of the patient.",Inferred,ncpi_patient_knowledge_source:traditional,https://anvilproject.github.io/acr-harmonized-data-model/EnumPatientKnowledgeSource,EnumPatientKnowledgeSource
ResearchStudy,study_status,active,Study is opened for accrual.,Active,hl7_study_status:active,https://anvilproject.github.io/acr-harmonized-data-model/EnumStudyStatus,EnumStudyStatus
ResearchStudy,study_status,administratively_completed,Study is completed prematurely and will not resume; patients are no longer examined nor treated.,Administratively Completed,hl7_study_status:administratively-completed,https://anvilproject.github.io/acr-harmonized-data-model/EnumStudyStatus,EnumStudyStatus
ResearchStudy,study_status,approved,Approved,,hl7_study_status:approved,https://anvilproject.github.io/acr-harmonized-data-model/EnumStudyStatus,EnumStudyStatus
ResearchStudy,study_status,closed_to_accrual,Closed to Accrual,,closed-to-accrual,https://anvilproject.github.io/acr-harmonized-data-model/EnumStudyStatus,EnumStudyStatus
ResearchStudy,study_status,closed_to_accrual_and_intervention,Closed to Accrual and Intervention,,hl7_study_status:closed-to-accrual-and-intervention,https://anvilproject.github.io/acr-harmonized-data-model/EnumStudyStatus,EnumStudyStatus
ResearchStudy,study_status,completed,Completed,,hl7_study_status:completed,https://anvilproject.github.io/acr-harmonized-data-model/EnumStudyStatus,EnumStudyStatus
ResearchStudy,study_status,disapproved,Disapproved,,hl7_study_status:disapproved,https://anvilproject.github.io/acr-harmonized-data-model/EnumStudyStatus,EnumStudyStatus
ResearchStudy,study_status,in_review,In Review,,hl7_study_status:in-review,https://anvilproject.github.io/acr-harmonized-data-model/EnumStudyStatus,EnumStudyStatus
ResearchStudy,study_status,temporarily_closed_to_accrual,Temporarily Closed to Accrual,,hl7_study_status:temporarily-closed-to-accrual,https://anvilproject.github.io/acr-harmonized-data-model/EnumStudyStatus,EnumStudyStatus
ResearchStudy,study_status,temporarily_closed_to_accrual_and_intervention,Temporarily Closed to Accrual and Intervention,,hl7_study_status:temporarily-closed-to-accrual-and-intervention,https://anvilproject.github.io/acr-harmonized-data-model/EnumStudyStatus,EnumStudyStatus
ResearchStudy,study_status,withdrawn,Withdrawn,,hl7_study_status:withdrawn,https://anvilproject.github.io/acr-harmonized-data-model/EnumStudyStatus,EnumStudyStatus
ResearchStudyCollection,research_study_collection_type,consortium,Consortium,,ncpi_collection_type:consortium,https://anvilproject.github.io/acr-harmonized-data-model/EnumResearchCollectionType,EnumResearchCollectionType
